cell_id,condition,opponent,seed,provider,cooperation_rate,action_volatility,half_life,curvature_beta2,cross_lag_peak,coop_recovery_delay,cost_usd,status
Full-Gamma_Random_s511_deepseek,Full-Gamma,Random,511,deepseek,0.78,14,,3.7981152674167133,0,9,0.009090200000000003,degraded
Full-Gamma_Random_s2048_openai,Full-Gamma,Random,2048,openai,0.64,19,,1.0090751096157988,0,11,0.0373918,ok
Full-Gamma_Random_s4096_openai,Full-Gamma,Random,4096,openai,0.62,20,,18.80368117565215,0,,0.036651,ok
Full-Gamma_GTFT_s7_anthropic,Full-Gamma,GTFT,7,anthropic,0.96,4,,-1.6588575895924655,0,,0.08550900000000003,ok
Full-Gamma_Random_s1024_deepseek,Full-Gamma,Random,1024,deepseek,0.8,17,,-6.7590964626979355,0,12,0.008681679999999999,ok
Full-Gamma_Random_s8192_openai,Full-Gamma,Random,8192,openai,0.56,25,,-9.805968702037326,0,1,0.0331274,ok
Full-Gamma_Random_s2048_deepseek,Full-Gamma,Random,2048,deepseek,0.8,10,,3.69397045254506,0,,0.00889196,ok
Full-Gamma_GTFT_s17_anthropic,Full-Gamma,GTFT,17,anthropic,0.92,8,,0.7577649889905058,0,,0.09280900000000004,ok
Full-Gamma_Random_s8192_deepseek,Full-Gamma,Random,8192,deepseek,0.72,22,,-6.170144289567865,0,5,0.009380560000000001,ok
Full-Gamma_Random_s4096_deepseek,Full-Gamma,Random,4096,deepseek,0.66,19,,2.228369441429374,0,2,0.009378880000000001,degraded
Full-Gamma_GTFT_s7_deepseek,Full-Gamma,GTFT,7,deepseek,0.9,5,,0.3928832397681792,0,,0.00795648,ok
Full-Gamma_GTFT_s99_anthropic,Full-Gamma,GTFT,99,anthropic,0.84,12,,0.5563543450611298,0,9,0.096839,ok
Full-Gamma_GTFT_s7_openai,Full-Gamma,GTFT,7,openai,0.62,20,,-7.147953631537002,0,2,0.035122999999999995,ok
Full-Gamma_GTFT_s123_anthropic,Full-Gamma,GTFT,123,anthropic,0.86,14,,-0.1260633539759363,0,,0.08322399999999996,ok
Full-Gamma_GTFT_s17_openai,Full-Gamma,GTFT,17,openai,0.84,12,,0.09945575216557483,0,,0.029692599999999996,ok
Full-Gamma_GTFT_s256_anthropic,Full-Gamma,GTFT,256,anthropic,0.92,8,,-4.686520866220224,0,,0.08601899999999998,ok
Full-Gamma_GTFT_s99_openai,Full-Gamma,GTFT,99,openai,0.74,20,,-1.633284202415891,0,5,0.0349822,ok
Full-Gamma_GTFT_s123_openai,Full-Gamma,GTFT,123,openai,0.84,10,,1.8947293352701646,0,9,0.02899499999999999,ok
Full-Gamma_GTFT_s17_deepseek,Full-Gamma,GTFT,17,deepseek,0.88,9,,0.1649113506793568,0,,0.008281420000000003,degraded
Full-Gamma_GTFT_s99_deepseek,Full-Gamma,GTFT,99,deepseek,0.86,13,,2.1880257601499644,0,,0.009128559999999997,degraded
Full-Gamma_GTFT_s256_openai,Full-Gamma,GTFT,256,openai,0.78,11,,-1.5479836237875337,0,,0.028435399999999996,ok
Full-Gamma_GTFT_s511_anthropic,Full-Gamma,GTFT,511,anthropic,0.8,16,,-0.6782136636254219,0,8,0.10265400000000001,degraded
Full-Gamma_GTFT_s511_openai,Full-Gamma,GTFT,511,openai,0.88,10,,-0.6075509669739357,0,3,0.0265186,ok
Full-Gamma_GTFT_s1024_anthropic,Full-Gamma,GTFT,1024,anthropic,0.94,6,,0.4538199976832486,0,,0.093094,ok
Full-Gamma_GTFT_s2048_anthropic,Full-Gamma,GTFT,2048,anthropic,0.76,18,,-1.4073644214834475,0,,0.10028399999999998,ok
Full-Gamma_GTFT_s1024_openai,Full-Gamma,GTFT,1024,openai,0.8,16,,-4.078057100152439,0,,0.0313318,ok
Full-Gamma_GTFT_s2048_openai,Full-Gamma,GTFT,2048,openai,0.84,15,,2.8155416231224315,0,4,0.0300578,ok
Full-Gamma_GTFT_s511_deepseek,Full-Gamma,GTFT,511,deepseek,0.88,9,,-0.8059888311906537,0,,0.00813372,ok
Full-Gamma_GTFT_s123_deepseek,Full-Gamma,GTFT,123,deepseek,0.84,15,,-1.7872259442543734,0,2,0.008956780000000001,degraded
Full-Gamma_GTFT_s4096_anthropic,Full-Gamma,GTFT,4096,anthropic,0.88,12,,0.7225222230325152,0,11,0.084549,ok
Full-Gamma_GTFT_s256_deepseek,Full-Gamma,GTFT,256,deepseek,0.78,17,,-0.8239525242681637,0,,0.008778280000000001,ok
Full-Gamma_GTFT_s8192_anthropic,Full-Gamma,GTFT,8192,anthropic,0.84,13,,-0.8355673736648478,0,,0.10119400000000002,ok
Full-Gamma_GTFT_s4096_openai,Full-Gamma,GTFT,4096,openai,0.78,16,,-5.723145108653245,0,8,0.030636200000000002,ok
Full-Gamma_GTFT_s1024_deepseek,Full-Gamma,GTFT,1024,deepseek,0.84,13,,-4.817866640512226,0,,0.009026640000000002,degraded
No-H_TFT_s7_anthropic,No-H,TFT,7,anthropic,0.86,14,,1.9111252422381182,0,1,0.07689400000000003,ok
Full-Gamma_GTFT_s2048_deepseek,Full-Gamma,GTFT,2048,deepseek,0.84,15,,1.529875879776577,0,3,0.0086842,degraded
Full-Gamma_GTFT_s8192_deepseek,Full-Gamma,GTFT,8192,deepseek,0.86,11,,1.2181086397452745,0,9,0.00871108,ok
No-H_TFT_s17_anthropic,No-H,TFT,17,anthropic,0.92,6,,1.4629886290400946,0,8,0.07381899999999997,ok
Full-Gamma_GTFT_s4096_deepseek,Full-Gamma,GTFT,4096,deepseek,0.8,17,,0.9401264436501889,0,7,0.008627920000000002,degraded
Full-Gamma_GTFT_s8192_openai,Full-Gamma,GTFT,8192,openai,0.84,14,,0.6490437895044514,0,8,0.028125299999999995,ok
No-H_TFT_s99_anthropic,No-H,TFT,99,anthropic,0.9,10,,1.9618664507909884,0,,0.070964,ok
No-H_TFT_s7_deepseek,No-H,TFT,7,deepseek,0.88,11,,2.6964940637464903,0,4,0.00817992,ok
No-H_TFT_s7_openai,No-H,TFT,7,openai,0.86,10,,3.218393881945852,0,5,0.02821660000000001,ok
No-H_TFT_s123_anthropic,No-H,TFT,123,anthropic,0.86,14,,0.7250396637027822,0,10,0.07820900000000003,ok
No-H_TFT_s17_deepseek,No-H,TFT,17,deepseek,0.84,13,,-0.0845625789545898,0,5,0.008351,degraded
